P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"any","DTI|RB","DTI","more","QL|AP|RBR","AP","life","NN|NC","NN","peers","NNS","NNS","labour","NN|VB","NN"
"meeting","NN|VBG","NN","of","IN|RB_1|IN_3","IN","MPs","NPTS","NPTS","tomorrow","NR","NR","labour","NN|VB","NN"
"some","DTI|PN_1|RB","DTI","left-wing","JJB","JJB","&comma;","SCOM","SCOM","a","AT|AP_1|RB_1","AT","support","NN|VB","NN"
"majority","NN","NN","of","IN|RB_1|IN_3","IN","MPs","NPTS","NPTS","are","BER","BER","labour","NN|VB","NN"
"Foot","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","will","MD|NN|VB","MD","be","BE|RB_2","BE","line","NN|VB","NN"
"that","CS|DT|WPR","CS","as","CS|IN|QL","CS","MPs","NPTS","NPTS","opposed","VBN|IN_2|VBD","VBD","labour","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","that","CS|DT|WPR","CS","should","MD","MD","not","XNOT","XNOT","labour","NN|VB","NN"
"&comma;","SCOM","SCOM","13","CD","CD","life","NN|NC","NN","peers","NNS","NNS","labour","NN|VB","NN"
"<O>","<O>","<O>","most","QL|AP|RBT","AP","sentiment","NN|FW","NN","would","MD","MD","labour","NN|VB","NN"
"it","PP3|NC","PP3","remains","VBZ|NNS","VBZ","has","HVZ","HVZ","to","TO|IN|IN_2","TO","labour","NN|VB","NN"
"an","AT","AT","adequate","JJ","JJ","of","IN|RB_1|IN_3","IN","members","NNS","NNS","number","NN|VB","NN"
"policy","NN","NN","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","change","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","Roy","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","sir","NN|VB","NN"
"chief","JJB|NN","NN","a","AT|AP_1|RB_1","AT","on","IN|RP|RB_3","IN","his","PPG|PPGG","PPG","report","NN|VB","NN"
"Callaghan","NP","NP","&comma;","SCOM","SCOM","&apos;s","GENM|BEZ|HVZ","GENM","colonial","JJ","JJ","labour","NN|VB","NN"
"government","NN","NN","and","CC|RB_1|RB_2","CC","housing","NN|VBG","NN","projects","NNS|VBZ","NNS","state","NN|VB","NN"
"Germany","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","offer","VB|NN","NN","to","TO|IN|IN_2","TO","cash","NN|VB","NN"
"America","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","of","IN|RB_1|IN_3","IN","payments","NNS","NNS","balance","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","big","JJ","JJ","of","IN|RB_1|IN_3","IN","Germany","NP","NP","slice","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","&lsquo;","SQSO","SQSO","&rsquo;","SQSC","SQSC","is","BEZ|NC","BEZ","aid","NN|VB","NN"
"Germans","NNPS","NNPS","&apos;","GENM|FW","GENM","that","CS|DT|WPR","CS","they","PP3AS","PP3AS","claim","NN|VB","NN"
"<O>","<O>","<O>","tough","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","spot","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","regular","JJ","JJ","towards","IN","IN","the","ATI|RB_2|NC","ATI","sum","NN|VB","NN"
"<O>","<O>","<O>","these","DTS","DTS","costs","NNS|VBZ","NNS","are","BER","BER","support","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","big","JJ","JJ","on","IN|RP|RB_3","IN","America","NP","NP","drain","NN|VB","NN"
"Adenauer","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","answer","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","once-and-for-all","JJB","JJB","offer","VB|NN","NN","of","IN|RB_1|IN_3","IN","cash","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","painful","JJ","JJ","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","blow","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","tough","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","spot","NN|VB","NN"
"his","PPG|PPGG","PPG","Washington","NP","NP","conference","NN|NC","NN","admitted","VBN|VBD|JJ","VBD","press","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","on","IN|RP|RB_3","IN","February","NR","NR","answer","NN|VB","NN"
"presidential","JJ","JJ","election","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","campaign","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","direct","JJ|RB|VB","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","answer","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","fiercest","JJT","JJT","since","CS|IN|RI","IN","the","ATI|RB_2|NC","ATI","battle","NN|VB","NN"
"&comma;","SCOM","SCOM","led","VBD|VBN","VBD","&apos;s","GENM|BEZ|HVZ","GENM","attack","NN|VB","NN","labour","NN|VB","NN"
"labour","NN|VB","NN","&apos;s","GENM|BEZ|HVZ","GENM","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","attack","NN|VB","NN"
"by","IN|RP|IN_1","IN","inciting","VBG","VBG","MPs","NPTS","NPTS","to","TO|IN|IN_2","IN","labour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","human","JJ|NN","JJ","behind","IN|RP","IN","the","ATI|RB_2|NC","ATI","issue","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","result","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","was","BEDZ","BEDZ","not","XNOT","XNOT","vote","NN|VB","NN"
"not","XNOT","XNOT","in","IN|RP|RB_1","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","doubt","NN|VB","NN"
"massed","JJ|VBN","VBN","in","IN|RP|RB_1","IN","to","TO|IN|IN_2","IN","their","PPG","PPG","answer","NN|VB","NN"
"policy","NN","NN","under","IN|RB|RP","IN","was","BEDZ","BEDZ","monstrous","JJ","JJ","censure","NN|VB","NN"
"ranks","NNS|NC","NNS","of","IN|RB_1|IN_3","IN","supporters","NNS","NNS","&period;","SPER|IN","SPER","labour","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","many","AP|AP_3|NC","AP","press","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","service","NN|NC|VB","NN","and","CC|RB_1|RB_2","CC","state","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","need","NN|VB|MD","NN","point","NN|VB","NN"
"that","CS|DT|WPR","DT","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","labour","NN|VB","NN"
"it","PP3|NC","PP3","was","BEDZ","BEDZ","which","WDTR|WDT","WDTR","first","OD|RB|RB_2","RB","labour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","financial","JJ","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","strain","NN|VB","NN"
"needy","JJ","JJ","than","IN|CS|RB_2","CS","had","HVD|HVN","HVD","to","TO|IN|IN_2","TO","labour","NN|VB","NN"
